PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Derrick Rose,MIN,25,15,10,16.8,8.4,29,11.8,2,4.03,3.51,0.288,0.3,0.1,1.2,1.25,0,1.033,18
John Henson,MIL,75,39,36,26,8.9,30.7,19.8,0.8,1.47,0.34,0.288,4,0.6,7.7,0.262,0.574,0.853,18
Kenneth Faried,DEN,32,16,16,14.4,5.9,20.4,11.3,0.6,1.62,0.56,0.288,1.4,1.1,5,0.591,0.471,0.855,18
Andre Drummond,DET,78,37,41,33.7,15,52.3,39.1,1.8,2.07,0.82,0.287,5.4,3.4,11.7,0.278,0.479,0.942,18
Isaiah Whitehead,BKN,15,2,13,10.9,5.8,20.2,9.2,1.5,4.55,4.26,0.287,0.1,0,0.3,0,0,0.5,18
Rudy Gay,SAS,57,36,21,21.6,11.5,40.1,21.9,1.6,2.44,1.39,0.287,1.6,3.1,2.3,0.404,0.701,0.955,18
Luc Mbah a Moute,HOU,60,52,8,25.6,7.5,26.4,16,0.8,1.85,1,0.285,0.6,0.3,1,0.788,0.35,0.877,18
Brandon Ingram,LAL,59,27,32,33.5,16.1,56.7,34.4,3.7,3.94,2.94,0.284,1,0.9,2.3,0.579,0.415,0.874,18
Malik Monk,CHA,63,26,37,13.5,6.7,23.5,10.3,1.9,4.9,4.65,0.284,0.1,0,0.3,0.4,0,1,18
Timothe Luwawu-Cabarrot,PHI,51,29,22,15.6,5.7,20.2,16.2,0.6,1.69,0.94,0.284,0.2,0,0.9,1.111,0,0.844,18
Cheick Diallo,NOP,52,29,23,11.2,4.9,17.3,7.2,0.4,1.42,0.31,0.283,0.9,0.4,2.5,0.833,0.727,0.992,18
Dirk Nowitzki,DAL,77,24,53,24.7,12,42.5,27.6,1,1.39,0.25,0.283,1.9,2.6,0.9,0.469,0.627,0.866,18
Zach Randolph,SAC,59,18,41,25.6,14.5,51.3,35.8,1.8,2.07,0.84,0.283,4.3,8.5,4.4,0.295,0.529,0.927,18
Derrick Jones Jr.,MIA,20,9,11,12.3,3.1,10.8,7.5,0.3,1.6,0.79,0.282,0.3,0,1.3,0.5,0,0.962,18
Dillon Brooks,MEM,81,21,60,28.7,11,39.1,30.1,1.6,2.39,1.39,0.282,0.9,0.1,1.5,0.31,0.6,0.653,18
Rodney Purvis,ORL,16,5,11,18.1,6,21.3,15.3,0.9,2.49,1.85,0.282,0.4,0,0.3,0,0,0,18
DeMarcus Cousins,NOP,46,26,20,36.5,25.2,90,57.1,3.9,2.59,1.29,0.279,4,7.6,5,0.238,0.456,0.943,18
Trey Lyles,DEN,73,41,32,19.1,9.9,35.5,20.2,1.2,1.95,0.86,0.279,0.7,1.8,2,0.82,0.541,0.972,18
Ian Clark,NOP,73,43,30,19.6,7.4,26.4,16.1,1.3,3,2.49,0.278,0.3,0,0.6,0.833,0,0.841,18
Jabari Parker,MIL,31,16,15,24,12.6,45.4,27.1,1.5,2.01,1.23,0.278,1.7,1.1,3,0.463,0.412,0.624,18
Nikola Mirotic,NOP,55,34,21,27.2,15.6,56.2,27.2,1.7,1.81,0.72,0.278,0.9,2.8,3.3,0.725,0.558,0.961,18
Willy Hernangomez,CHA,48,20,28,10.3,5.1,18.5,10,0.5,1.7,0.54,0.276,1.9,1.4,3.2,0.319,0.406,0.771,18
